"Data Source","World Development Indicators",

"Last Updated Date","2024-02-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20752.3282847905","22427.993237547","23482.9110845945","25023.3814156027","26784.5979560137","27191.1360078965","27182.2817540513","28716.8977506392","28741.8479521331","28654.4401410505","30746.6847192965","32179.9407289433","31988.1893647276","32654.4258915852","35653.9744751721","36265.5303845399","37361.9370413717","39074.4838418559","40054.6394741559","35167.5313180673","34227.828725148","35778.4917971718","34788.2512054388","36931.0572138997","36844.0530580265","37341.1248431157","37581.7785245367","38868.3339230867","40549.6108207788","40144.6474358026","30873.6667783799","41195.9745199989","48750.3160050803",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1819.10974868042","1831.9224377176","1791.32056893037","1783.64036442506","1809.20936515911","1880.41874422821","1967.38361271426","2035.66649727039","2045.27969369269","2079.81274508966","2145.48557889687","2217.21223922235","2280.98156275831","2341.18883140369","2474.29599766776","2640.37400555155","2827.02983510701","3015.19809240334","3126.18390740693","3084.84735964618","3194.06318305197","3299.65387136535","3215.01925816201","3340.32409869117","3478.69367741465","3507.30676139616","3601.46059944224","3647.03928578733","3736.52594467116","3788.41350671601","3637.83902528639","3871.09850466057","4184.83601629423",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.116264973779","970.645114676507","971.811023482828","1075.67137317936","1120.89312847686","1287.06440027539","1336.21033898238","1575.31677908966","1771.19798501195","1749.93699491677","1958.44762747924","2062.05917625276","2110.82956797747","2128.12593822669","2023.83465629732","2096.09311055337","2110.23938365518","2168.13376468688","2078.59508637203","1673.14418861155","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1749.27126096001","1784.58340339802","1822.20577824436","1798.15970383168","1788.33602187172","1816.41440284945","1885.84627738708","1949.54371867387","1988.28725392898","1994.64648664041","2056.77280180493","2152.24370276732","2324.77607208082","2432.78541854603","2620.90796989821","2781.18885529813","2937.20296696356","3091.4962096099","3256.18949676359","3379.31318964875","3553.15835206898","3700.44932389482","3802.91445958509","3952.81262505283","4145.20318212886","4080.28928811517","4007.16023801105","4054.5724534869","4166.12594507279","4270.57857311097","4182.70968945032","4432.45311684105","4802.94616368931",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3283.17084264682","3315.70892012087","3091.20134167919","2330.66232463358","2336.37906790098","2654.40279083022","2968.58657619534","3133.18615405633","3210.0823089319","3220.72474626244","3285.95341568284","3388.14868776504","3782.89222467172","3839.57282705314","4223.63778745545","4835.66952220115","5364.43766234147","6056.77918764932","6615.11498307247","6471.28487885863","6586.46581926881","6700.11409977804","7389.31496018756","7643.9219442902","8123.04806537777","7274.09047477931","7027.14663413219","7216.06137267002","7043.95535982329","6882.27912260866","6367.43731675631","6523.46361278762","6976.00646865565",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.74680052103","1909.31915995857","1823.5036094765","2057.6920475362","2290.14391682223","2666.08195137438","2980.41887081088","2717.68470080045","3021.17960396358","3471.64661643634","3861.33300611406","4300.22273491517","4661.40269532788","5000.29565068603","5427.76712861162","5865.29135442867","6565.60987428443","7284.1278846532","8228.31159516276","8813.47173541344","9628.60713931932","10207.7247723504","10526.1610889042","10570.8968752842","11259.3036811774","11658.9145224543","12078.7003673445","12771.0541369637","13498.2495157541","14407.368334259","14078.4271096882","15471.0561731136","18603.4117850842",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6707.63529635207","7299.54005045695","7646.28512710001","7839.38139068017","8021.66801534462","8204.94886332195","8532.59699908253","8855.22628551257","9235.63009906781","9344.29860652246","9971.44744201577","10137.1207261591","10107.5675110695","10509.7448267929","11530.5005351644","12249.2532592434","13027.399020654","13597.0247601902","14247.2363133874","14024.5607575314","14504.1321595792","15052.7227205266","15945.5317078917","15887.9064217937","15635.0783788124","14156.8744567423","13725.5670020657","14350.102694487","14783.2999568222","14981.0366459701","14234.2310272548","15206.5159440718","16968.7493457266",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86852.6844745038","85681.6988624879","85950.1945195544","84807.0913080274","88387.6525303652","92124.4273380778","93898.1784415133","96815.9387385429","92308.654444408","90839.6331566865","97390.2990609776","95748.9068524897","94688.1438684681","100101.558083729","107548.40115971","108491.294896301","107345.515721636","94896.5016027047","83865.4109958942","69931.7320214158","67759.8292636078","72666.7454527676","74853.5750972265","75877.9979631878","78859.0891166617","69705.704856878","68853.8197724917","71182.3707145056","73270.6715789192","74826.5184162299","71458.6385200044","77272.9994194784","88488.9846057784",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7183.58382562643","7990.18800352353","8699.39508000729","9506.50543115127","10138.6816541837","9925.12989526904","10531.8458193995","11444.4740607451","11880.4806279761","11506.6988843989","11542.9860028113","11159.3299223816","9990.72022161809","10974.3241728286","12162.3374741639","13513.6702919661","14896.7335378162","16510.4482429226","17336.9328242167","16249.730130137","18063.9143432506","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23294.0986752419","23007.8365916056","20797.7259531997","23834.4731183679","26530.3231237638",
